Mountain Name,Elevation,Prominence,Isolation,Number of ascents,Latitude,Longitude,Distance,Elevation Change,Elevation Start,Elev per mile
Mount Belford,14197,1317,3.3,648,38.9606444,-106.3607841,8.1,4517,9680,1115.308642
Crestone Needle,14197,437,0.4,308,37.9647221,-105.576675,3,2500,11697,1666.666667
Mount Yale,14196,1876,5.5,636,38.844162,-106.3139118,8.5,4274,9922,1005.647059
Crooks Peak,14173,66,0.1,101,36.5744998,-118.2907297,23.4,7456,6717,637.2649573
Kit Carson Mountain,14165,1005,1.3,299,37.9797219,-105.602508,12.5,4500,9665,720
Mount Wrangell,14163,5563,14.5,4,62.0058333,-144.0194444,18,13000,1163,1444.444444
Mount Shasta,14162,9762,334.7,1534,41.4091897,-122.194953,10.3,7122,7040,1382.912621
Quandary Peak - West Peak,14160,40,0.2,15,39.39721,-106.106399,6.75,1052,13108,311.7037037
La Plata Peak - East Peak,14160,40,0.1,39,39.0294,-106.472921,8,4500,9660,1125
El Diente,14159,239,0.7,218,43.1995809,-4.9806093,11.6,4284,9875,738.6206897
Point Success,14158,118,0.4,30,46.8458144,-121.7672074,9,4800,9358,1066.666667
Maroon Peak,14156,2316,8,252,39.0708002,-106.988694,10.9,4950,9206,908.2568807
Tabeguache Peak,14155,435,0.8,469,38.6254147,-106.250883,12,4500,9655,750
Mount Oxford,14153,633,1.2,499,38.9647162,-106.338912,16.8,5387,8766,641.3095238
Mount Sill,14153,353,0.6,316,37.0959261,-118.503218,13.6,6876,7277,1011.176471
Mount Sneffels,14150,3030,15.7,601,38.0037895,-107.7922692,13,5501,8649,846.3076923
Mount Democrat,14148,748,1.2,1126,39.3395883,-106.1400273,4,2150,11998,1075
Mount Elbert - South Peak,14134,214,0.7,126,39.1179831,-106.1400273,9,1433,12701,318.4444444
Mount Massive - Southeast Peak,14132,212,0.4,90,39.1872,-106.1400273,7,4000,10132,1142.857143
Capitol Peak,14130,1730,7.4,280,39.15021,-107.082727,17,5300,8830,623.5294118
Liberty Cap,14112,472,0.8,69,46.8630175,-121.7748834,19.3,9696,4416,1004.766839
Pikes Peak,14110,5510,60.6,1475,38.8404012,-105.0439523,25,7434,6676,594.72
Mount Wilson - South Peak,14110,150,0.3,11,37.8392,-105.0439523,9.6,3138,10972,653.75
East Williamson Horn,14108,131,0.5,6,36.661944,-105.0439523,25.4,10104,4004,795.5905512
Mount Wilson - West Peak,14100,100,0.3,69,37.8392,-105.0439523,5,3900,10200,1560
Snowmass Mountain,14092,1132,2.3,230,39.1188405,-107.0664852,16.8,5314,8778,632.6190476
Mount Russell,14088,1096,0.7,390,62.7982469,-151.8844845,9.9,5784,8304,1168.484848
Windom Peak,14087,2167,26.3,265,37.6213097,-107.5918424,17.8,5879,8208,660.5617978
Mount Eolus,14084,1004,1.7,236,37.6217842,-107.622655,17.4,5826,8258,669.6551724
Challenger Point,14081,281,0.2,308,37.9802775,-105.606675,11.7,5298,8783,905.6410256
Mount Columbia,14073,873,1.6,409,52.1473441,-117.4407271,12,4166,9907,694.3333333
Missouri Mountain,14067,827,1.3,455,38.9475767,-106.378528,10.9,4504,9563,826.4220183
Humboldt Peak,14064,1184,1.4,387,37.9761111,-105.555285,10.7,4222,9842,789.1588785
Mount Bierstadt,14060,700,1,1369,39.5826212,-105.6687761,7.8,2765,11295,708.974359
Sunlight Peak,14059,379,0.5,234,37.6274221,-107.5958515,17.3,5875,8184,679.1907514
Split Mountain,14058,1526,6.8,379,43.164117,-109.6723729,13.7,7444,6614,1086.715328
Cofre de Perote,14049,4600,30.7,20,19.4941853,-97.1478249,6.3,2847,11202,903.8095238
Handies Peak,14048,1888,11.1,560,37.9129884,-107.504452,5.3,2440,11608,920.754717
Culebra Peak,14047,4807,35.4,230,37.1223405,-105.1858008,4.6,2624,11423,1140.869565
Mount Lindsey,14042,1522,2.2,289,37.5839008,-105.444904,7.9,3654,10388,925.0632911
Ellingwood Point,14042,322,0.5,303,37.5825877,-105.492546,14,5971,8071,853
Mount Williamson - Far Northeast Horn,14042,131,0.1,6,36.661944,-118.30374,25.4,10104,3938,795.5905512
Conundrum Peak,14040,200,0.4,241,39.015747,-106.862782,22.1,6272,7768,567.60181
Longs Peak - Southeast Peak,14040,200,0.1,32,40.253794,-105.613723,15.6,5498,8542,704.8717949
North Eolus,14039,159,0.2,196,37.6252457,-107.6211987,17.75,6000,8039,676.056338
Little Bear Peak,14037,357,0.9,224,37.5666715,-105.497233,17.5,6387,7650,729.9428571
Mount Sherman,14036,876,8.1,975,39.2250901,-106.1700689,4.4,2158,11878,980.9090909
Redcloud Peak,14034,1436,4.9,464,37.9409189,-107.421844,9,3651,10383,811.3333333
Mount Langley,14026,1165,4.4,945,36.5234337,-118.239498,23,4688,9338,407.6521739
Mount Tyndall,14019,1093,1.4,390,-41.9334721,145.5911528,35,8950,5069,511.4285714
Pyramid Peak,14018,1618,2.1,239,39.0716572,-106.950112,7.4,4366,9652,1180
Wilson Peak,14017,857,1.4,296,37.8604304,-107.984691,9.2,3809,10208,828.0434783
Wetterhorn Peak,14015,1615,2.7,371,38.0607958,-107.5110101,10,3671,10344,734.2
San Luis Peak,14014,3113,27,366,37.9868041,-106.931283,13.4,3559,10455,531.1940299
